titulo_video,id_video,data_publicacao,imagem,player_video,estatisticas,comentarios,favoritos,likes,visualizacoes,id_playlist,nome_playlist
NASCIDO PARA SER SELVAGEM,Ssuc24N6ywI,2021-09-06T21:00:08Z,https://i.ytimg.com/vi/Ssuc24N6ywI/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ssuc24N6ywI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '2715989', 'likeCount': '224999', 'favoriteCount': '0', 'commentCount': '4854'}",4854,0,224999,2715989,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
O SANGUE CHEGA A FERVE,_UtCmDsdMZk,2021-09-13T21:00:11Z,https://i.ytimg.com/vi/_UtCmDsdMZk/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_UtCmDsdMZk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '2910911', 'likeCount': '208019', 'favoriteCount': '0', 'commentCount': '5202'}",5202,0,208019,2910911,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
MARANHOU feat Thaynara OG,Hzfafou_4Qw,2021-09-20T21:00:07Z,https://i.ytimg.com/vi/Hzfafou_4Qw/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Hzfafou_4Qw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '1806158', 'likeCount': '127094', 'favoriteCount': '0', 'commentCount': '3704'}",3704,0,127094,1806158,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
MARCO ZERO feat Gabriel Oliveira,PmBO-v2A-0w,2021-09-27T21:00:18Z,https://i.ytimg.com/vi/PmBO-v2A-0w/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PmBO-v2A-0w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '1102954', 'likeCount': '90550', 'favoriteCount': '0', 'commentCount': '2886'}",2886,0,90550,1102954,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
BEM VINDOS À BAHIA,cofbqCwBs4M,2021-10-04T21:00:24Z,https://i.ytimg.com/vi/cofbqCwBs4M/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cofbqCwBs4M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '1233849', 'likeCount': '114016', 'favoriteCount': '0', 'commentCount': '4072'}",4072,0,114016,1233849,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
CHURRASCO E BOM CHIMARRÃO,pdztFQhWHh8,2021-10-11T21:00:12Z,https://i.ytimg.com/vi/pdztFQhWHh8/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/pdztFQhWHh8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '894282', 'likeCount': '78247', 'favoriteCount': '0', 'commentCount': '1627'}",1627,0,78247,894282,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
DE VOLTA PRA MINHA TERRA,3LMeN0PfPdA,2021-10-18T21:00:05Z,https://i.ytimg.com/vi/3LMeN0PfPdA/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3LMeN0PfPdA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '3082343', 'likeCount': '253039', 'favoriteCount': '0', 'commentCount': '6706'}",6706,0,253039,3082343,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
TRAILER OFICIAL: WHINDERSSON - PRÓXIMA PARADA 2 -  AGORA É NO BRASIL,Ja_TXLyD2Gs,2021-08-27T21:00:01Z,https://i.ytimg.com/vi/Ja_TXLyD2Gs/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ja_TXLyD2Gs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '2523219', 'likeCount': '90180', 'favoriteCount': '0', 'commentCount': '1554'}",1554,0,90180,2523219,PLypClbHDpCW1H_VYaQvn1wplR2bUrmnnp,Whindersson: Próxima Parada S2
PRÓXIMA PARADA: PARIS - DUBLIN - LONDRES,1As7KHDbgvw,2019-10-03T23:00:07Z,https://i.ytimg.com/vi/1As7KHDbgvw/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/1As7KHDbgvw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '9733977', 'likeCount': '931469', 'favoriteCount': '0', 'commentCount': '13166'}",13166,0,931469,9733977,PLypClbHDpCW2O_RQYYs-sy4_xvfy_b6b1,Whindersson: Próxima Parada
PRÓXIMA PARADA: OSLO - TÓQUIO,Z2fBL2uMnfo,2019-10-11T00:24:08Z,https://i.ytimg.com/vi/Z2fBL2uMnfo/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Z2fBL2uMnfo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '5681364', 'likeCount': '527661', 'favoriteCount': '0', 'commentCount': '6905'}",6905,0,527661,5681364,PLypClbHDpCW2O_RQYYs-sy4_xvfy_b6b1,Whindersson: Próxima Parada
PRÓXIMA PARADA: NOVA IORQUE - FILADÉLFIA,jah0ZP9eCl4,2019-10-17T23:00:07Z,https://i.ytimg.com/vi/jah0ZP9eCl4/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/jah0ZP9eCl4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '4785517', 'likeCount': '445314', 'favoriteCount': '0', 'commentCount': '7848'}",7848,0,445314,4785517,PLypClbHDpCW2O_RQYYs-sy4_xvfy_b6b1,Whindersson: Próxima Parada
PRÓXIMA PARADA: LISBOA,ka9Zf-GJwoI,2019-10-24T23:00:06Z,https://i.ytimg.com/vi/ka9Zf-GJwoI/mqdefault.jpg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ka9Zf-GJwoI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>","{'viewCount': '3395737', 'likeCount': '338236', 'favoriteCount': '0', 'commentCount': '4801'}",4801,0,338236,3395737,PLypClbHDpCW2O_RQYYs-sy4_xvfy_b6b1,Whindersson: Próxima Parada
